"group_id"	"type"	"items_in_group"	"lo_value"	"p"	"FDR"	"goodsgrna"	"rank"	"log2FoldChange"
"ID3"	"x"	6	0.14622	0.2328	0.968247	2	359	-0.09355
"HIF1A"	"x"	6	0.14624	0.23282	0.968247	1	360	0.1003
"CRK"	"x"	6	0.14699	0.23373	0.968247	2	361	-0.016
"nc_chr15_11"	"n"	1	0.14713	0.1478	0.912791	0	362	-0.148
"nc_chr8_4"	"n"	1	0.14761	0.14829	0.912791	0	363	-0.227
"ARHGAP35"	"x"	6	0.14802	0.23512	0.970387	2	364	-0.0772
"nc_chr1_3"	"n"	1	0.14907	0.14968	0.912791	0	365	-0.0895
"AXIN1"	"x"	6	0.15006	0.23761	0.975509	2	366	-0.2865
"UNC50"	"x"	6	0.15087	0.23879	0.975509	2	367	-0.10615
"CCNL1"	"x"	6	0.15133	0.23934	0.975509	1	368	-0.07105
"NOTCH1"	"x"	6	0.15191	0.24017	0.975509	2	369	-0.10445
"CSNK2A1"	"x"	5	0.15251	0.23264	0.968247	1	370	0.0351
"CDK5R1"	"x"	6	0.15269	0.24125	0.975509	2	371	-0.0538
"nc_chr4_6"	"n"	1	0.15343	0.15381	0.912791	0	372	-0.314
"NDE1"	"x"	6	0.15386	0.24276	0.975509	2	373	0.015
"CYLD"	"x"	6	0.15449	0.24361	0.975509	1	374	-0.0019
"GAK"	"x"	6	0.15478	0.24393	0.975509	2	375	-0.16205
"GSK3B"	"x"	6	0.15504	0.24434	0.975509	2	376	-0.143
"DVL1"	"x"	6	0.15765	0.2474	0.982987	2	377	-0.1317
"BMP2"	"x"	6	0.15818	0.24818	0.982987	2	378	-0.031
"nc_chr13_3"	"n"	1	0.15828	0.15871	0.912791	0	379	-0.167
"GLI2"	"x"	6	0.15891	0.24921	0.982987	1	380	0.1433
"HLA-F"	"x"	6	0.15897	0.2493	0.982987	2	381	-0.233
"nc_chr9_6"	"n"	1	0.15925	0.15961	0.912791	0	382	-0.204
"nc_chr13_11"	"n"	1	0.15949	0.15985	0.912791	0	383	-0.184
"THEM4"	"x"	6	0.15954	0.25005	0.983494	1	384	0.0275
"nc_chr8_1"	"n"	1	0.16058	0.16087	0.912791	0	385	-0.126
"CD19"	"x"	6	0.1608	0.25175	0.987715	1	386	-0.05595
"nc_chr14_8"	"n"	1	0.16168	0.16194	0.912791	0	387	-0.162
"CTBP2"	"x"	6	0.16214	0.25353	0.992257	2	388	-0.1173
"MEF2D"	"x"	5	0.16255	0.23893	0.975509	1	389	0.0087
"LGALS3"	"x"	6	0.1632	0.25503	0.993242	2	390	-0.22845
"HLA-C"	"x"	6	0.16769	0.26087	0.995928	1	391	0.0601
"LPP"	"x"	6	0.16831	0.26167	0.995928	1	392	-0.0191
"DUSP8"	"x"	6	0.16852	0.26197	0.995928	2	393	-0.04385
"MAP3K2"	"x"	6	0.16894	0.26253	0.995928	1	394	0.09825
"TOP2B"	"x"	6	0.16906	0.26268	0.995928	2	395	0.11805
"PIAS1"	"x"	6	0.1712	0.26549	0.995928	2	396	-0.10425
"RAD23A"	"x"	6	0.17143	0.26577	0.995928	1	397	-0.01195
"NFATC4"	"x"	6	0.17228	0.26678	0.995928	2	398	-0.1065
"BAD"	"x"	6	0.17267	0.2673	0.995928	1	399	0.0235
"ELK1"	"x"	6	0.17282	0.2675	0.995928	2	400	-0.172
"PLK2"	"x"	6	0.17309	0.26779	0.995928	2	401	-0.1343
"MAPK3"	"x"	6	0.17335	0.26815	0.995928	2	402	-0.054
"HDAC7"	"x"	6	0.17416	0.26921	0.995928	2	403	-0.0869
"TCF7L1"	"x"	6	0.17577	0.27125	0.995928	1	404	0.06045
"nc_chr16_1"	"n"	1	0.17586	0.17575	0.918827	0	405	-0.213
"AMHR2"	"x"	6	0.17639	0.27205	0.995928	1	406	-0.0922
"nc_chr4_5"	"n"	1	0.17647	0.17638	0.918827	0	407	-0.158
"MAST1"	"x"	6	0.17686	0.27265	0.995928	2	408	-0.174
"PRKCG"	"x"	6	0.17701	0.27289	0.995928	1	409	-0.0116895
"IL2RG"	"x"	6	0.17741	0.27339	0.995928	2	410	0.0465
"SNAI1"	"x"	6	0.17768	0.27379	0.995928	2	411	-0.1868
"nc_chr4_10"	"n"	1	0.1778	0.17772	0.918827	0	412	-0.0712
"TYK2"	"x"	6	0.17795	0.27409	0.995928	2	413	0.0035
"CDKN2B"	"x"	6	0.17822	0.27435	0.995928	2	414	0.04135
"TRAF2"	"x"	6	0.17825	0.27438	0.995928	1	415	0.242
"nc_chr14_11"	"n"	1	0.17829	0.17813	0.918827	0	416	-0.168
"TCF3"	"x"	6	0.17903	0.27543	0.995928	2	417	-0.2005
"EGFR"	"x"	6	0.17985	0.27667	0.995928	2	418	-0.01372
"ORC2"	"x"	6	0.18071	0.2778	0.995928	2	419	-0.0952
"MAML1"	"x"	6	0.18093	0.27808	0.995928	2	420	-0.0706
"nc_chr19_5"	"n"	1	0.18107	0.18058	0.918827	0	421	-0.349
"nc_chr2_1"	"n"	1	0.18132	0.18081	0.918827	0	422	-0.0933
"WDR48"	"x"	6	0.18133	0.27857	0.995928	1	423	-0.042985
"TGFA"	"x"	6	0.18195	0.27924	0.995928	1	424	-0.0244
"CDKN1B"	"x"	6	0.18284	0.28044	0.995928	2	425	-0.03195
"CARD11"	"x"	6	0.18339	0.28108	0.995928	2	426	-0.1725
"DAB2IP"	"x"	6	0.18379	0.28159	0.995928	1	427	0.0886
"PAK1"	"x"	6	0.18393	0.2818	0.995928	2	428	-0.0779
"SPAG5"	"x"	6	0.1844	0.2824	0.995928	1	429	0.197
"nc_chr1_4"	"n"	1	0.18544	0.18473	0.918827	0	430	-0.197
"TNFRSF1B"	"x"	6	0.18694	0.28597	0.996761	2	431	-0.078
"ID1"	"x"	6	0.18747	0.2866	0.996761	1	432	0.05235
"EPC2"	"x"	6	0.18749	0.28661	0.996761	2	433	0.11187
"DEPTOR"	"x"	6	0.18808	0.28732	0.996761	1	434	0.0435
"DNM2"	"x"	6	0.18869	0.2882	0.996761	1	435	0.10125
"PPM1B"	"x"	6	0.18887	0.28844	0.996761	2	436	-0.02657
"SMC1B"	"x"	6	0.1893	0.28895	0.996761	1	437	-0.1675
"SMAD6"	"x"	6	0.18991	0.28968	0.996761	1	438	-0.09405
"FOXO3"	"x"	6	0.19024	0.29012	0.996761	2	439	-0.2455
"FZD2"	"x"	6	0.19052	0.29052	0.996761	1	440	-0.151
"SMC3"	"x"	6	0.19113	0.29132	0.996761	1	441	-0.13095
"PPP2CB"	"x"	6	0.19296	0.29381	0.996761	1	442	0.1445
"FZD10"	"x"	5	0.19568	0.26058	0.995928	1	443	0.0114
"BIRC6"	"x"	6	0.196	0.29766	0.996761	1	444	-0.1725
"LRP6"	"x"	6	0.19604	0.29776	0.996761	2	445	-0.07685
"MAPK8"	"x"	6	0.19688	0.29889	0.996761	2	446	-0.1795
"PLCG1"	"x"	6	0.19715	0.2993	0.996761	2	447	-0.036
"SURF1"	"x"	6	0.19854	0.30108	0.996761	2	448	-0.1172
"VRK1"	"x"	6	0.20023	0.30207	0.996761	1	449	0.12935
"DPYSL3"	"x"	6	0.20084	0.30247	0.996761	1	450	-0.0207
"RND3"	"x"	6	0.20265	0.30357	0.996761	1	451	0.1835
"nc_chr13_10"	"n"	1	0.20411	0.20369	0.943639	0	452	-0.17
"ATP6V1D"	"x"	6	0.20445	0.30477	0.996761	1	453	-0.0071
"SRPK2"	"x"	6	0.20565	0.30544	0.996761	1	454	0.0316
"FANCM"	"x"	6	0.20685	0.30607	0.996761	1	455	0.018365
"nc_chr2_4"	"n"	1	0.20714	0.2068	0.94462	0	456	-0.137
"E2F5"	"x"	6	0.20805	0.30676	0.996761	1	457	0.0551
"MITF"	"x"	6	0.20865	0.30715	0.996761	1	458	0.07995
"BCAR1"	"x"	6	0.20925	0.30755	0.996761	1	459	0.07155
"nc_chr10_4"	"n"	1	0.20981	0.2093	0.947519	0	460	-0.275
"PPM1A"	"x"	6	0.21164	0.3091	0.996761	1	461	0.0634
"CLK2"	"x"	6	0.21223	0.30948	0.996761	1	462	-0.0563
"GLI3"	"x"	6	0.21343	0.31007	0.996761	1	463	-0.100485
"CDR2"	"x"	6	0.21581	0.31145	0.996761	1	464	-0.1345
"EME1"	"x"	6	0.21699	0.31206	0.996761	1	465	-0.0065
"nc_chr6_6"	"n"	1	0.2172	0.21672	0.957329	0	466	-0.13
"NOTCH2"	"x"	6	0.21818	0.31285	0.996761	1	467	0.1845
"nc_chr17_11"	"n"	1	0.21854	0.2181	0.958945	0	468	-0.201
"PPP2R2B"	"x"	6	0.21936	0.31359	0.996761	1	469	0.05505
"MAP2K7"	"x"	6	0.21995	0.31394	0.996761	1	470	-0.0892
"MAP3K1"	"x"	6	0.22114	0.31452	0.996761	1	471	-0.133
"DYRK1B"	"x"	6	0.22173	0.3148	0.996761	1	472	0.0793755
"SALL4"	"x"	6	0.22232	0.31513	0.996761	1	473	-0.11705
"TINF2"	"x"	6	0.22467	0.31654	0.996761	1	474	0.07055
"TDG"	"x"	6	0.22644	0.31759	0.996761	1	475	0.1
"DMD"	"x"	6	0.22703	0.31799	0.996761	1	476	-0.06787
"USP1"	"x"	6	0.2282	0.31855	0.996761	1	477	-0.143
"IL1RN"	"x"	6	0.22878	0.31889	0.996761	1	478	-0.06205
"RNF8"	"x"	6	0.22937	0.31922	0.996761	1	479	-0.1143
"ITGAL"	"x"	6	0.23054	0.31986	0.996761	1	480	0.2655
"KRT17"	"x"	6	0.23229	0.32097	0.996761	1	481	-0.129
"nc_chr21_6"	"n"	1	0.23406	0.23399	0.968247	0	482	-0.202
"NCOA1"	"x"	6	0.23462	0.32228	0.996761	1	483	-0.14335
"CDKN1C"	"x"	6	0.23811	0.32414	0.996761	1	484	-0.2465
"VAV2"	"x"	6	0.23985	0.32514	0.996761	1	485	0.08875
"nc_chr4_8"	"n"	1	0.24024	0.24012	0.975509	0	486	-0.0958
"CHD8"	"x"	6	0.24043	0.32553	0.996761	1	487	-0.00445
"nc_chr18_10"	"n"	1	0.24157	0.24152	0.975509	0	488	-0.155
"HNRNPK"	"x"	6	0.24216	0.3265	0.996761	1	489	0.0088
"CHUK"	"x"	6	0.24274	0.32685	0.996761	1	490	-0.0885
"PIP4K2C"	"x"	6	0.24332	0.3271	0.996761	1	491	-0.0896
"nc_chr19_6"	"n"	1	0.24363	0.24362	0.975509	0	492	-0.237
"TP63"	"x"	6	0.24562	0.32851	0.996761	1	493	0.0075
"HDAC3"	"x"	6	0.24619	0.32884	0.996761	1	494	0.02085
"POLR2F"	"p"	6	0.24734	0.32958	0.996761	1	495	0.062
"ORC1"	"x"	6	0.24849	0.3302	0.996761	1	496	0.0836
"nc_chr2_6"	"n"	1	0.24885	0.2487	0.982987	0	497	-0.148
"AKT1S1"	"x"	6	0.25021	0.33131	0.996761	1	498	0.0165000000000016
"FANCB"	"x"	6	0.25192	0.33236	0.996761	1	499	0.0385
"RPS11"	"p"	6	0.25364	0.33347	0.996761	1	500	0.07285
"LIMK2"	"x"	6	0.25477	0.33409	0.996761	1	501	0.0737
"nc_chr16_6"	"n"	1	0.25491	0.25471	0.993242	0	502	-0.182
"CTLA4"	"x"	6	0.25591	0.33473	0.996761	1	503	-0.1281
"IL23R"	"x"	6	0.25648	0.33505	0.996761	1	504	-0.1093
"nc_chrX_3"	"n"	1	0.25649	0.25621	0.995413	0	505	-0.0762
"NEK11"	"x"	6	0.25762	0.33575	0.996761	1	506	-0.09775
"SERBP1"	"x"	4	0.25784	0.27914	0.995928	1	507	0.185
"LRIG1"	"x"	6	0.25818	0.33614	0.996761	1	508	0.17
"YAP1"	"x"	6	0.25875	0.33658	0.996761	1	509	0.06805
"FAF2"	"x"	6	0.25932	0.3369	0.996761	1	510	0.0161
"GRAP2"	"x"	6	0.26045	0.3377	0.996761	1	511	0.0351
"NTHL1"	"x"	6	0.26102	0.33803	0.996761	1	512	-0.03569
"SMURF2"	"x"	6	0.26158	0.33834	0.996761	1	513	-0.01895
"PTPRG"	"x"	6	0.26215	0.33865	0.996761	1	514	0.005
"INCENP"	"x"	6	0.26271	0.33887	0.996761	1	515	0.215
"nc_chr17_4"	"n"	1	0.26376	0.2637	0.995928	0	516	-0.0543
"NFKBIA"	"x"	5	0.26402	0.30799	0.996761	1	517	0.176
"EZH2"	"x"	5	0.26544	0.30897	0.996761	1	518	0.127
"PPARGC1A"	"x"	6	0.26665	0.34137	0.996761	1	519	-0.03511
"POLB"	"x"	6	0.26834	0.34246	0.996761	1	520	0.09995
"FGFR2"	"x"	6	0.27002	0.34347	0.996761	1	521	0.1285
"USF1"	"x"	5	0.27158	0.31348	0.996761	1	522	0.058
"MAPK8IP2"	"x"	6	0.27225	0.34458	0.996761	1	523	0.0485
"MAPKAPK5"	"x"	6	0.27281	0.34501	0.996761	1	524	-0.1426
"XAB2"	"x"	6	0.27337	0.3453	0.996761	1	525	-0.0188
"FOXO6"	"x"	6	0.27504	0.34626	0.996761	1	526	-0.0726
"nc_chr21_4"	"n"	1	0.27589	0.27563	0.995928	0	527	-0.116
"nc_chr8_9"	"n"	1	0.27649	0.27625	0.995928	0	528	-0.118
"WNT10A"	"x"	6	0.27671	0.34729	0.996761	1	529	-0.0478
"MMP7"	"x"	6	0.27726	0.3477	0.996761	1	530	-0.0391
"FRAT1"	"x"	6	0.27837	0.34838	0.996761	1	531	-0.118
"COPS4"	"p"	6	0.27892	0.34869	0.996761	1	532	0.0646
"FLNA"	"x"	6	0.27948	0.34902	0.996761	1	533	0.0121
"nc_chr1_10"	"n"	1	0.27952	0.27909	0.995928	0	534	-0.0687
"LIMK1"	"x"	6	0.28003	0.34936	0.996761	1	535	0.1635
"nc_chr21_11"	"n"	1	0.28037	0.27989	0.995928	0	536	-0.0817
"nc_chr1_11"	"n"	1	0.28195	0.28141	0.995928	0	537	-0.121
"nc_chr10_9"	"n"	1	0.28328	0.28267	0.995928	0	538	-0.0556
"HSF1"	"x"	6	0.28445	0.35195	0.996761	1	539	0.00454000000000157
"DYNLL1"	"x"	6	0.285	0.35226	0.996761	1	540	-0.05752
"SFRP1"	"x"	6	0.28664	0.35322	0.996761	1	541	0.05095
"SLC2A1"	"x"	6	0.28774	0.35403	0.996761	1	542	-0.0398
"RPS6"	"x"	6	0.28829	0.35431	0.996761	1	543	-0.0659
"ATF4"	"x"	6	0.28938	0.355	0.996761	1	544	0.1022
"nc_chr4_11"	"n"	1	0.28959	0.28917	0.996761	0	545	-0.207
"HLA-A"	"x"	6	0.28993	0.3553	0.996761	1	546	0.02459
"RFC5"	"x"	6	0.29048	0.35563	0.996761	1	547	0.1056
"BMPR1A"	"x"	6	0.29157	0.35618	0.996761	1	548	-0.0592
"RBSN"	"x"	6	0.29212	0.35662	0.996761	1	549	-0.06745
"REV1"	"x"	6	0.29266	0.35697	0.996761	1	550	-0.0742
"IFNGR2"	"x"	6	0.29375	0.35769	0.996761	1	551	-0.08935
"MNX1"	"x"	6	0.2943	0.35805	0.996761	1	552	-0.182
"ITGB5"	"x"	6	0.29538	0.35873	0.996761	1	553	-0.02705
"SMAD1"	"x"	6	0.29701	0.35975	0.996761	1	554	0.0176001585
"FKBP1A"	"x"	6	0.29755	0.36001	0.996761	1	555	0.03485
"nc_chr7_2"	"n"	1	0.29819	0.29805	0.996761	0	556	-0.179
"UBE2V2"	"x"	6	0.30026	0.36156	0.996761	1	557	-0.017865
"MST1R"	"x"	6	0.30134	0.36228	0.996761	1	558	-0.176
"CLDN2"	"x"	6	0.30188	0.36266	0.996761	1	559	0.0421
"nc_chr7_8"	"n"	1	0.30268	0.30235	0.996761	0	560	-0.138
"STAG2"	"x"	6	0.30403	0.364	0.996761	1	561	-0.05485
"nc_chr1_5"	"n"	1	0.30462	0.30413	0.996761	0	562	-0.0544
"MAPK10"	"x"	5	0.30709	0.33898	0.996761	1	563	-0.0788
"nc_chr13_2"	"n"	1	0.30838	0.30766	0.996761	0	564	-0.0908
"CRKL"	"x"	6	0.30886	0.36688	0.996761	1	565	-0.07
"MSH5"	"x"	6	0.31259	0.36936	0.996761	1	566	-0.121
"nc_chr5_5"	"n"	1	0.31323	0.31264	0.996761	0	567	-0.0406
"NEFH"	"x"	6	0.31366	0.37003	0.996761	1	568	-0.09805
"nc_chrX_8"	"n"	1	0.31505	0.31431	0.996761	0	569	-0.0421
"HIST1H3A"	"x"	6	0.31684	0.3722	0.996761	1	570	-0.0591
"GSK3A"	"x"	6	0.31737	0.37253	0.996761	1	571	0.01985
"PCNA"	"x"	6	0.3179	0.37288	0.996761	1	572	-0.13095
"FRS2"	"x"	6	0.31843	0.37321	0.996761	1	573	0.05498
"NCF1"	"x"	5	0.31966	0.34848	0.996761	1	574	-0.0887
"FLT1"	"x"	6	0.32054	0.37451	0.996761	1	575	-0.1665
"ALK"	"x"	6	0.32107	0.37485	0.996761	1	576	-0.06465
"BRCA2"	"x"	4	0.32123	0.33194	0.996761	1	577	-0.223
"ILK"	"x"	6	0.32159	0.37519	0.996761	1	578	-0.249
"RPS6KA1"	"x"	6	0.32264	0.37584	0.996761	1	579	-0.028
"nc_chr7_4"	"n"	1	0.32268	0.32211	0.996761	0	580	-0.106
"EEF2K"	"x"	6	0.3237	0.37643	0.996761	1	581	-0.03135
"PRKCA"	"x"	6	0.32422	0.3768	0.996761	1	582	-0.08475
"RHEB"	"x"	6	0.32579	0.37776	0.996761	1	583	-0.2111
"MAP4K5"	"x"	6	0.32632	0.37812	0.996761	1	584	0.002997
"NBAS"	"x"	6	0.32684	0.37842	0.996761	1	585	-0.0045
"SKI"	"x"	5	0.32852	0.35519	0.996761	1	586	-0.0278
"PRMT5"	"x"	6	0.32893	0.37966	0.996761	1	587	0.2075
"MCL1"	"x"	6	0.32945	0.38003	0.996761	1	588	-0.1975
"SYK"	"x"	6	0.32997	0.38032	0.996761	1	589	0.12295
"RET"	"x"	6	0.33101	0.38096	0.996761	1	590	-0.1232
"PCYT1A"	"x"	6	0.33205	0.38158	0.996761	1	591	0.282
"FGFR3"	"x"	6	0.33361	0.38254	0.996761	1	592	-0.0069
"PTPRF"	"x"	6	0.33413	0.38284	0.996761	1	593	-0.10395
"BCL2L12"	"x"	6	0.33465	0.38316	0.996761	1	594	0.010645
"YWHAH"	"x"	6	0.33568	0.3839	0.996761	1	595	-0.248
"nc_chr14_3"	"n"	1	0.33602	0.33566	0.996761	0	596	-0.0428
"RICTOR"	"x"	6	0.3362	0.38417	0.996761	1	597	0.02008
"SMARCE1"	"x"	6	0.33672	0.38457	0.996761	1	598	0.014
"nc_chr9_5"	"n"	1	0.33772	0.33756	0.996761	0	599	-0.157
"VPS33A"	"x"	5	0.33772	0.36218	0.996761	1	600	0.0285
"L1CAM"	"x"	6	0.33827	0.38568	0.996761	1	601	0.05485
"SOX9"	"x"	6	0.3393	0.38635	0.996761	1	602	0.10905
"nc_chr9_10"	"n"	1	0.33978	0.33963	0.996761	0	603	-0.0536
"PRKCB"	"x"	6	0.34238	0.38827	0.999496	1	604	-0.0781
"nc_chr16_5"	"n"	1	0.34281	0.34306	0.996761	0	605	-0.0473
"SOCS1"	"x"	6	0.34341	0.38903	0.999496	1	606	0.159
"PDPK1"	"x"	6	0.34392	0.38936	0.999496	1	607	0.2265
"nc_chr6_3"	"n"	1	0.34645	0.34654	0.996761	0	608	-0.117
"nc_chr5_1"	"n"	1	0.3473	0.34731	0.996761	0	609	-0.068
"nc_chr4_3"	"n"	1	0.34778	0.34784	0.996761	0	610	-0.0598
"JUND"	"x"	6	0.348	0.39213	0.999967	1	611	0.18205
"MAST2"	"x"	6	0.34902	0.39268	0.999967	1	612	-0.08445
"FGFR4"	"x"	6	0.35105	0.3941	0.999967	1	613	0.03045
"BCL2"	"x"	5	0.35199	0.37311	0.996761	1	614	-0.017
"FANCD2"	"x"	6	0.35207	0.39476	0.999967	1	615	-0.08035
"IFNLR1"	"x"	6	0.35257	0.39502	0.999967	1	616	0.06055
"TAB3"	"x"	6	0.35308	0.39534	0.999967	1	617	0.2373
"YPEL5"	"x"	5	0.35413	0.37481	0.996761	1	618	-0.0916
"DUSP7"	"x"	6	0.35561	0.39692	0.999967	1	619	-0.01085
"PLA2G4A"	"x"	6	0.35712	0.39799	0.999967	1	620	-0.0992
"OPRD1"	"x"	6	0.35812	0.39868	0.999967	1	621	-0.01185
"COL1A1"	"x"	6	0.35913	0.39949	0.999967	1	622	-0.062
"SH2D6"	"x"	6	0.35963	0.39973	0.999967	1	623	-0.0027
"PXN"	"x"	6	0.36013	0.40007	0.999967	1	624	-0.06295
"CCNE2"	"x"	6	0.36114	0.40067	0.999967	1	625	-0.04465
"nc_chr2_2"	"n"	1	0.36257	0.36247	0.996761	0	626	-0.0714
"IRS2"	"x"	6	0.36264	0.40169	0.999967	1	627	-0.139
"PPP1R12A"	"x"	6	0.36363	0.40251	0.999967	1	628	-0.199
"PSEN2"	"x"	6	0.36712	0.40483	0.999967	1	629	-0.0825
"PRKAB1"	"x"	6	0.36911	0.4063	0.999967	1	630	0.0315
"CRMP1"	"x"	6	0.3696	0.40659	0.999967	1	631	0.0045
"F3"	"x"	6	0.37158	0.40783	0.999967	1	632	-0.0726
"ARPC4"	"x"	6	0.37355	0.40917	0.999967	1	633	0.1617
"SMAD5"	"x"	6	0.37503	0.41016	0.999967	1	634	0.16415
"nc_chr8_10"	"n"	1	0.37506	0.37532	0.996761	0	635	-0.0995
"IKBKAP"	"x"	6	0.37601	0.41079	0.999967	1	636	-0.033
"SMARCA4"	"x"	6	0.3765	0.41115	0.999967	1	637	-0.1396
"SMAD4"	"x"	6	0.37895	0.41272	0.999967	1	638	-0.1242
"TCL1A"	"x"	6	0.37944	0.41297	0.999967	1	639	-0.0226
"nc_chr2_9"	"n"	1	0.38015	0.38047	0.996761	0	640	-0.0727
"nc_chr15_3"	"n"	1	0.3804	0.38072	0.996761	0	641	-0.0467
"nc_chr4_4"	"n"	1	0.38088	0.38122	0.996761	0	642	-0.0522
"nc_chr20_6"	"n"	1	0.38112	0.3815	0.996761	0	643	-0.0802
"PPP2R1A"	"x"	6	0.38188	0.41465	0.999967	1	644	0.0539
"SLC18A2"	"x"	6	0.38285	0.41528	0.999967	1	645	0.0679
"MAPK12"	"x"	6	0.38334	0.41564	0.999967	1	646	0.07615
"PRKCI"	"x"	5	0.38472	0.39926	0.999967	1	647	-0.0522
"WDR26"	"x"	6	0.3848	0.41657	0.999967	1	648	0.028
"nc_chr8_11"	"n"	1	0.38609	0.38641	0.996761	0	649	-0.0674
"TCF4"	"x"	6	0.38867	0.41931	0.999967	1	650	-0.11685
"POLD3"	"x"	6	0.38915	0.41968	0.999967	1	651	-0.068615
"SOCS3"	"x"	6	0.38964	0.42001	0.999967	1	652	0.265
"SAV1"	"x"	6	0.393	0.42257	0.999967	1	653	-0.0353
"ERBB4"	"x"	6	0.39396	0.42325	0.999967	1	654	-0.0882
"HSPA14"	"x"	6	0.39444	0.42358	0.999967	1	655	0.19
"ABCG2"	"x"	6	0.39683	0.42529	0.999967	1	656	-0.0665
"CAMK2G"	"x"	6	0.39779	0.42591	0.999967	1	657	0.09875
"nc_chr16_3"	"n"	1	0.39895	0.39921	0.999967	0	658	-0.0394
"RFK"	"x"	6	0.39921	0.42695	0.999967	1	659	-0.004
"nc_chr5_8"	"n"	1	0.39955	0.39971	0.999967	0	660	-0.0439
"MYL9"	"x"	6	0.39969	0.42733	0.999967	1	661	-0.060085
"HRAS"	"x"	6	0.40064	0.42811	0.999967	1	662	0.137
"ATN1"	"x"	6	0.40301	0.43008	0.999967	1	663	0.02715
"NCK1"	"x"	6	0.40348	0.43039	0.999967	1	664	0.01104
"PPP1R8"	"x"	6	0.40443	0.4311	0.999967	1	665	0.00645
"ORC6"	"x"	6	0.40537	0.43193	0.999967	1	666	-0.0536
"ACVR1"	"x"	5	0.4058	0.41707	0.999967	1	667	-0.165
"FKBP4"	"x"	6	0.40632	0.43267	0.999967	1	668	-0.249
"nc_chr17_7"	"n"	1	0.40719	0.40725	0.999967	0	669	-0.0363
"CD46"	"x"	6	0.40726	0.43343	0.999967	1	670	0.03321
"CDK3"	"x"	6	0.40961	0.43531	0.999967	1	671	-0.09015
"DDIT3"	"x"	6	0.41007	0.43556	0.999967	1	672	0.0513
"nc_chr20_1"	"n"	1	0.41313	0.41327	0.999967	0	673	-0.0189
"CAV1"	"x"	6	0.41335	0.4381	0.999967	1	674	-0.092999853
"nc_chr11_4"	"n"	1	0.41362	0.41376	0.999967	0	675	-0.0285
"PSMC4"	"p"	6	0.41381	0.43836	0.999967	1	676	-0.0397
"EGR1"	"x"	6	0.41474	0.43918	0.999967	1	677	-0.195
"IRS1"	"x"	5	0.41494	0.42499	0.999967	1	678	-0.227
"PARP1"	"x"	6	0.41521	0.43949	0.999967	1	679	0.10015
"ITGAV"	"x"	6	0.41567	0.43982	0.999967	1	680	0.0057
"ZFP36L1"	"x"	6	0.41614	0.44016	0.999967	1	681	-0.133
"nc_chr14_4"	"n"	1	0.41701	0.41702	0.999967	0	682	-0.0259
"nc_chr20_8"	"n"	1	0.41725	0.41729	0.999967	0	683	-0.191
"LRRK2"	"x"	6	0.41753	0.44128	0.999967	1	684	-0.15425
"NR3C1"	"x"	6	0.418	0.44168	0.999967	1	685	-0.1115
"CDKN2A"	"x"	6	0.42031	0.44349	0.999967	1	686	-0.013265
"SUMO2"	"x"	6	0.42077	0.44385	0.999967	1	687	-0.099575
"GNB3"	"x"	6	0.42123	0.44416	0.999967	1	688	0.04075
"MDC1"	"x"	6	0.42169	0.44451	0.999967	1	689	-0.0177499999999984
"CEBPB"	"x"	6	0.42215	0.44482	0.999967	1	690	0.020025
"RPS21"	"x"	6	0.42307	0.44556	0.999967	1	691	-0.0121996515
"nc_chr17_8"	"n"	1	0.42331	0.42323	0.999967	0	692	-0.0258
"ADD1"	"x"	6	0.42445	0.44664	0.999967	1	693	0.025
"STAMBP"	"x"	6	0.42491	0.44688	0.999967	1	694	-0.12555
"MNAT1"	"x"	6	0.42537	0.44729	0.999967	1	695	0.274
"STAM"	"x"	6	0.42583	0.44765	0.999967	1	696	0.09635
"nc_chr5_11"	"n"	1	0.42622	0.42604	0.999967	0	697	-0.0164
"NUP133"	"p"	6	0.42629	0.44787	0.999967	1	698	0.219
"PSMD11"	"p"	6	0.42674	0.4482	0.999967	1	699	0.126
"nc_chr10_3"	"n"	1	0.42756	0.42733	0.999967	0	700	-0.0285
"RALA"	"x"	5	0.42785	0.43569	0.999967	1	701	-0.154
"nc_chr12_2"	"n"	1	0.42841	0.42811	0.999967	0	702	-0.0201
"FAAP100"	"x"	6	0.42857	0.4494	0.999967	1	703	-0.08435
"TP53RK"	"x"	6	0.42903	0.44978	0.999967	1	704	0.0388
"ERCC4"	"x"	6	0.42948	0.4501	0.999967	1	705	-0.0125
"nc_chr7_6"	"n"	1	0.42986	0.42957	0.999967	0	706	-0.0214
"BMF"	"x"	6	0.43085	0.45103	0.999967	1	707	-0.0767
"nc_chr5_3"	"n"	1	0.4312	0.43096	0.999967	0	708	-0.0227
"BMI1"	"x"	6	0.4313	0.45143	0.999967	1	709	-0.254
"C19orf25"	"x"	6	0.43176	0.45174	0.999967	1	710	-0.0524
"USP28"	"x"	6	0.43312	0.45276	0.999967	1	711	0.0932
"nc_chr6_11"	"n"	1	0.43326	0.43304	0.999967	0	712	-0.0323
"MSI1"	"x"	6	0.43448	0.45379	0.999967	1	713	-0.1445
"HBB"	"x"	6	0.43583	0.45494	0.999967	1	714	0.04925
"GYS1"	"x"	6	0.43629	0.45534	0.999967	1	715	0.04015
"APEX2"	"x"	6	0.43674	0.45571	0.999967	1	716	0.0511
"PEA15"	"x"	6	0.43719	0.45608	0.999967	1	717	-0.03185
