source_hgnc	interaction_directed_signed	target_hgnc	source_uniprot	target_uniprot	source_hgnc_status	target_hgnc_status
WT1	1	SOD1	P19544	P00441	1	1
SP1	1	SOD1	P08047	P00441	1	1
ELK3	-1	MYH6	P41970	P13533	1	1
PURB	-1	MYH6	Q96QR8	P13533	1	1
PURA	-1	MYH6	Q00577	P13533	1	1
SP1	1	KRT16	P08047	P08779	1	1
AKT1	1	AGAP2	P31749	Q99490	1	1
CHEK2	1	CHEK2	O96017	O96017	1	1
EP300	1	KRT16	Q09472	P08779	1	1
NAB2	-1	TNFSF10	Q15742	P50591	1	1
IL2	1	NAB2	P60568	Q15742	1	1
IL2	-1	TNFSF10	P60568	P50591	1	1
MAP2K6	1	CRK	P52564	P46108	1	1
PLCB1	1	GNA11	Q9NQ66	P29992	1	1
EGR1	1	PCSK2	P18146	P16519	1	1
EGR1	1	SOD1	P18146	P00441	1	1
JUN	1	KRT16	P05412	P08779	1	1
EP300	1	TBXAS1	Q09472	P24557	1	1
NFE2L2	1	TBXAS1	Q16236	P24557	1	1
CBP/p300	1	THBD	SIGNOR-C6	P07204	0	1
NfKb-p65/p50	-1	THBD	SIGNOR-C13	P07204	0	1
ERG	1	ADAMTS1	P11308	Q9UHI8	1	1
ERG	1	CXCR4	P11308	P61073	1	1
ERG	-1	CXCL8	P11308	P10145	1	1
ERG	1	ICAM2	P11308	P13598	1	1
ERG	1	VWF	P11308	P04275	1	1
ETS1	1	VWF	P14921	P04275	1	1
ERG	1	ENG	P11308	P17813	1	1
ERG	-1	ICAM1	P11308	P05362	1	1
TAL1	1	ERG	P17542	P11308	1	1
ERG	1	ERG	P11308	P11308	1	1
PRDM1	-1	FCER2	O75626	P06734	1	1
ATM	1	PVR	Q13315	P15151	1	1
BCL6	-1	FCER2	P41182	P06734	1	1
BCL6	-1	SUMO1	P41182	P63165	1	1
BCL6	-1	CD80	P41182	P33681	1	1
CSNK2A1	-1	CDC25C	P68400	P30307	1	1
CyclinE/CDK2	1	PRKAR1A	SIGNOR-C16	P10644	0	1
CyclinE/CDK2	-1	SIRT2	SIGNOR-C16	Q8IXJ6	0	1
CyclinE/CDK2	1	CDC25C	SIGNOR-C16	P30307	0	1
ERG	-1	EPB41L3	P11308	Q9Y2J2	1	1
ERG	1	EPB41L4B	P11308	Q9H329	1	1
GATA3	1	ERG	P23771	P11308	1	1
FLI1	1	ERG	Q01543	P11308	1	1
LMO2	1	ERG	P25791	P11308	1	1
LYL1	1	ERG	P12980	P11308	1	1
NR3C1	1	RXRA	P04150	P19793	1	1
ESR1	1	TGFA	P03372	P01135	1	1
ESR2	1	CDKN1A	Q92731	P38936	1	1
ESR2	1	TGFA	Q92731	P01135	1	1
BTF3	-1	MADCAM1	P20290	Q13477	1	1
PRKCZ	-1	MARK3	Q05513	P27448	1	1
MAPK10	-1	YWHAZ	P53779	P63104	1	1
NfKb-p65/p50	1	CD80	SIGNOR-C13	P33681	0	1
IRF4	1	FCER2	Q15306	P06734	1	1
NFKB1	1	CD80	P19838	P33681	1	1
RELA	1	CD80	Q04206	P33681	1	1
ASPM	1	BRCA1	Q8IZT6	P38398	1	1
BRCA1	-1	TFF1	P38398	P04155	1	1
ESR1	1	TFF1	P03372	P04155	1	1
ESR2	1	TFF1	Q92731	P04155	1	1
ESR1	1	CDKN1A	P03372	P38936	1	1
ESR1	unknown	MYC	P03372	P01106	1	1
BTF3	-1	MRVI1	P20290	Q9Y6F6	1	1
BTF3	-1	RRAS2	P20290	P62070	1	1
CBFA2T3	-1	ZNF652	O75081	Q9Y2D9	1	1
CBFA2T3/ZNF651	-1	ZNF652	SIGNOR-C197	Q9Y2D9	0	1
CBFA2T3	form complex	CBFA2T3/ZNF651	O75081	SIGNOR-C197	1	0
ZBTB47	form complex	CBFA2T3/ZNF651	Q9UFB7	SIGNOR-C197	1	0
CDX2	1	FUT2	Q99626	Q10981	1	1
MAPK8	-1	YWHAZ	P45983	P63104	1	1
MAPK8	-1	SFN	P45983	P31947	1	1
MAPK9	-1	YWHAZ	P45984	P63104	1	1
MAPK9	-1	SFN	P45984	P31947	1	1
BTF3	1	ABL2	P20290	P42684	1	1
BTF3	1	ATM	P20290	Q13315	1	1
BTF3	1	EPHB2	P20290	P29323	1	1
BTF3	-1	NFKB1	P20290	P19838	1	1
BTF3	-1	SSPN	P20290	Q14714	1	1
BTF3	1	HPSE2	P20290	Q8WWQ2	1	1
1,9-Pyrazoloanthrone	-1	MAPK10	CID:8515	P53779	0	1
HNF1A	1	UGT1A9	P20823	O60656	1	1
ATM	-1	CREB1	Q13315	P16220	1	1
MYC	1	ST3GAL4	P01106	Q11206	1	1
MYC	1	FUT3	P01106	P21217	1	1
MYC	1	ST3GAL1	P01106	Q11201	1	1
MYC	1	ST3GAL3	P01106	Q11203	1	1
CDX2	1	CDH17	Q99626	Q12864	1	1
CDX2	1	LCT	Q99626	P09848	1	1
CDX2	1	MEP1A	Q99626	Q16819	1	1
CDX2	1	MUC2	Q99626	Q02817	1	1
CDX2	1	TFF3	Q99626	Q07654	1	1
CDX2	1	UGT1A10	Q99626	Q9HAW8	1	1
CDX2	1	UGT1A8	Q99626	Q9HAW9	1	1
HNF1A	1	CDH17	P20823	Q12864	1	1
HNF1A	1	UGT1A10	P20823	Q9HAW8	1	1
HNF1A	1	UGT1A8	P20823	Q9HAW9	1	1
PKN1	-1	MARCKS	Q16512	P29966	1	1
BRCA1	-1	ESR1	P38398	P03372	1	1
MYB	1	GSTM1	P10242	P09488	1	1
CIITA	1	HLA-DRB1	P33076	P01912	1	1
RFX complex	1	HLA-DRB1	SIGNOR-C104	P01912	0	1
VDR	1	HLA-DRB1	P11473	P01912	1	1
COL3A1	1	ADGRG1	P02461	Q9Y653	1	1
ADGRG1	1	ADGRG1	Q9Y653	Q9Y653	1	1
ADGRG1	1	RHOA	Q9Y653	P61586	1	1
acetylcholine	1	CHRNA7	CID:187	P36544	0	1
CHRNA7	1	RHOA	P36544	P61586	1	1
CLOCK	1	DPYD	O15516	Q12882	1	1
RFX complex	1	HLA-DPB1	SIGNOR-C104	P04440	0	1
RFX complex	1	HLA-DQA1	SIGNOR-C104	P01909	0	1
RFX complex	1	HLA-DQB1	SIGNOR-C104	P01920	0	1
RFX complex	1	HLA-DMA	SIGNOR-C104	P28067	0	1
RFX complex	1	HLA-DOA	SIGNOR-C104	P06340	0	1
RFX complex	1	HLA-DPA1	SIGNOR-C104	P20036	0	1
RFX complex	1	HLA-DQA2	SIGNOR-C104	P01906	0	1
RFX complex	1	HLA-DQB2	SIGNOR-C104	P05538	0	1
RFX complex	1	HLA-DRA	SIGNOR-C104	P01903	0	1
RFX complex	1	HLA-DMB	SIGNOR-C104	P28068	0	1
RFX complex	1	HLA-DOB	SIGNOR-C104	P13765	0	1
RFX complex	1	HLA-DRB3	SIGNOR-C104	P79483	0	1
RFX complex	1	HLA-DRB4	SIGNOR-C104	P13762	0	1
GSK1070916	-1	AURKB	CID:46885626	Q96GD4	0	1
RFX complex	1	HLA-DMB	SIGNOR-C104	P28068	0	1
CIITA	1	HLA-DQB1	P33076	P01920	1	1
CDK2	-1	CCNE1	P24941	P24864	1	1
RFX complex	1	HLA-DRB5	SIGNOR-C104	Q30154	0	1
CIITA	1	HLA-DMA	P33076	P28067	1	1
CIITA	1	HLA-DOA	P33076	P06340	1	1
CIITA	1	HLA-DPB1	P33076	P04440	1	1
RFX complex	1	HLA-DPB1	SIGNOR-C104	P04440	0	1
CIITA	1	HLA-DRA	P33076	P01903	1	1
RFX complex	1	HLA-DRA	SIGNOR-C104	P01903	0	1
CIITA	1	HLA-DMB	P33076	P28068	1	1
CIITA	1	HLA-DRB3	P33076	P79483	1	1
CIITA	1	HLA-DRB4	P33076	P13762	1	1
CIITA	1	HLA-DRB5	P33076	Q30154	1	1
CIITA	1	HLA-DMB	P33076	P28068	1	1
CIITA	1	HLA-DOB	P33076	P13765	1	1
CIITA	1	HLA-F	P33076	P30511	1	1
CIITA	1	HLA-E	P33076	P13747	1	1
CIITA	1	HLA-A	P33076	P30443	1	1
CIITA	unknown	HLA-G	P33076	P17693	1	1
RFX1	1	HLA-DOB	P22670	P13765	1	1
TNFRSF17	1	ELK1	Q02223	P19419	1	1
MECP2	-1	BDNF	P51608	P23560	1	1
MECP2	-1	ESR1	P51608	P03372	1	1
MEF2C	1	MECP2	Q06413	P51608	1	1
MBD2	-1	ALOX5	Q9UBB5	P09917	1	1
DNMT1	-1	ESR1	P26358	P03372	1	1
HDAC1	-1	DNMT1	Q13547	P26358	1	1
HDAC1	-1	ESR1	Q13547	P03372	1	1
MBD1	-1	ALOX5	Q9UIS9	P09917	1	1
MEF2C	1	CDKL5	Q06413	O76039	1	1
SP1	1	ALOX5	P08047	P09917	1	1
MECP2	-1	ABCB1	P51608	P08183	1	1
MECP2	-1	DLX5	P51608	P56178	1	1
MECP2	-1	MGMT	P51608	P16455	1	1
MBD1	-1	MGMT	Q9UIS9	P16455	1	1
SLC11A1	1	M1 polarization	P49279	SIGNOR-PH54	1	0
IFNG	1	SLC11A1	P01579	P49279	1	1
clobetasol	1	SMO	CID:5311051	Q99835	0	1
PAMPs	1	SLC11A1	SIGNOR-ST11	P49279	0	1
CEBPA	1	F9	P49715	P00740	1	1
CEBPA	1	S100A9	P49715	P06702	1	1
CEBPA	1	SFTPD	P49715	P35247	1	1
CEBPA	1	STAR	P49715	P49675	1	1
CEBPB	1	S100A9	P17676	P06702	1	1
CEBPB	1	SFTPD	P17676	P35247	1	1
CEBPB	1	STAR	P17676	P49675	1	1
CEBPB	1	ADM	P17676	P35318	1	1
TFAP2A	1	ADM	P05549	P35318	1	1
CEBPB	1	CSRP1	P17676	P21291	1	1
CEBPB	1	GDF15	P17676	Q99988	1	1
CEBPB	1	GOT1	P17676	P17174	1	1
JUN	1	GOT1	P05412	P17174	1	1
CEBPB	1	SLC19A1	P17676	P41440	1	1
SOX9	-1	CEBPB	P48436	P17676	1	1
CEBPD	1	IL23A	P49716	Q9NPF7	1	1
ATM	-1	CREB1	Q13315	P16220	1	1
ATM	-1	CREB1	Q13315	P16220	1	1
CEBPB	1	SLC5A8	P17676	Q8N695	1	1
CEBPB	1	TNFAIP6	P17676	P98066	1	1
CEBPD	1	CCL20	P49716	P78556	1	1
CEBPD	1	TNFAIP6	P49716	P98066	1	1
CEBPG	1	SFTPD	P53567	P35247	1	1
SP1	1	SLC5A8	P08047	Q8N695	1	1
CEBPD	1	CXCL1	P49716	P09341	1	1
SB 202190	-1	MAPK14	CID:5353940	Q16539	0	1
MECP2	-1	ALOX5	P51608	P09917	1	1
REL	1	CSRP1	Q04864	P21291	1	1
SP1	1	SLC19A1	P08047	P41440	1	1
ERG	1	PIM1	P11308	P11309	1	1
ERG	1	SPP1	P11308	P10451	1	1
ERG	1	TDRD1	P11308	Q9BXT4	1	1
ERG	1	TDRD1	P11308	Q9BXT4	1	1
ERG	1	VIM	P11308	P08670	1	1
ETV4	1	VIM	P43268	P08670	1	1
ERG	1	WNT11	P11308	O96014	1	1
ESR1	1	F12	P03372	P00748	1	1
HNF4A	-1	F12	P41235	P00748	1	1
ESR1	1	GREB1	P03372	Q4ZG55	1	1
ESR1	1	UGT1A4	P03372	P22310	1	1
SP1	1	UGT1A4	P08047	P22310	1	1
ETS1	1	ABCB1	P14921	P08183	1	1
ETS1	1	CD8A	P14921	P01732	1	1
GATA3	1	CD8A	P23771	P01732	1	1
CDK2	-1	SMAD3	P24941	P84022	1	1
ETS1	1	ECE1	P14921	P42892	1	1
GATA1	1	GP6	P15976	Q9HCN6	1	1
ETS1	1	GP6	P14921	Q9HCN6	1	1
ETS1	1	MMP9	P14921	P14780	1	1
ETS1	1	MMP13	P14921	P45452	1	1
ETS1	1	SLC26A3	P14921	P40879	1	1
TP53	-1	TBXAS1	P04637	P24557	1	1
TP53	-1	ETS1	P04637	P14921	1	1
ETS1	1	TBXAS1	P14921	P24557	1	1
GATA3	-1	FOXC2	P23771	Q99958	1	1
284028-89-3	-1	TNKS2	CID:2726824	Q9H2K2	0	1
PRKAA1	-1	CDKN1A	Q13131	P38936	1	1
TSC22D3	-1	PPARG	Q99576	P37231	1	1
HES1	-1	PPARG	Q14469	P37231	1	1
NR3C1	1	TSC22D3	P04150	Q99576	1	1
STAT3	1	SOCS3	P40763	O14543	1	1
IKBKB	1	HES1	O14920	Q14469	1	1
IKK-complex	1	HES1	SIGNOR-C14	Q14469	0	1
TNF	1	HES1	P01375	Q14469	1	1
TNF	1	NOTCH1	P01375	P46531	1	1
TNF	1	NOTCH4	P01375	Q99466	1	1
TNF	1	JAG2	P01375	Q9Y219	1	1
DPYD	-1	uracil	Q12882	CID:1174	1	0
DPYD	-1	thymine	Q12882	CID:1135	1	0
BCHE	-1	acetylcholine	P06276	CID:187	1	0
ACHE	-1	acetylcholine	P22303	CID:187	1	0
DPYD	-1	5-Fluorouracil	Q12882	CID:3385	1	0
MTHFR	1	5-methyl-tetrahydrofolate	P42898	CID:439234	1	0
MTR	1	L-methionine	Q99707	CID:6137	1	0
PLCE1	1	Diacylglycerol	Q9P212	CID:6026790	1	0
ABL1	-1	PLSCR1	P00519	O15162	1	1
CyclinB/CDK1	1	CDC25A	SIGNOR-C17	P30304	0	1
CyclinB/CDK1	1	CDC25C	SIGNOR-C17	P30307	0	1
PAS complex	1	1,2-dioctanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,5-bisphosphate)	SIGNOR-C190	CID:91666372	0	0
PAS complex	-1	PtdIns3P	SIGNOR-C190	CID:24755494	0	0
FIG4	-1	1,2-dioctanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,5-bisphosphate)	Q92562	CID:91666372	1	0
UMPS	-1	Orotic acid	P11172	CID:967	1	0
UMPS	1	Orotidylic acid	P11172	CID:160617	1	0
PNPLA6	-1	Lysophosphatidylcholine	Q8IY17	CID:5311264	1	0
PNPLA6	1	Glycerophosphocholine	Q8IY17	CID: 439285	1	0
937174-76-0	-1	AKT2	CID:16725726	P31751	0	1
CHD4	-1	CD79A	Q14839	P11912	1	1
CREB1	1	MUC4	P16220	Q99102	1	1
CREB1	1	UXT	P16220	Q9UBK9	1	1
CREBBP	1	ALOX15	Q92793	P16050	1	1
ALOX15	1	Icomucret	P16050	CID:5280724	1	0
Icomucret	1	PPARG	CID:5280724	P37231	0	1
ELK1	1	MUC4	P19419	Q99102	1	1
EP300	1	ALOX15	Q09472	P16050	1	1
ETS1	1	MUC4	P14921	Q99102	1	1
STAT1	1	MUC4	P42224	Q99102	1	1
CBP/p300	1	ALOX15	SIGNOR-C6	P16050	0	1
STAT6	1	ALOX15	P42226	P16050	1	1
MBD2	-1	CHD4	Q9UBB5	Q14839	1	1
SNAI1	1	CTBP1	O95863	Q13363	1	1
SNAI1	-1	CLDN7	O95863	O95471	1	1
CTBP1	-1	CLDN7	Q13363	O95471	1	1
PML	1	SMAD3	P29590	P84022	1	1
WWTR1	1	SMAD3	Q9GZV5	P84022	1	1
UCHL5	1	SMAD3	Q9Y5K5	P84022	1	1
HOXC13	1	FOXN1	P31276	O15353	1	1
DBP	1	CYP7A1	Q10586	P22680	1	1
DDIT3	-1	ANKRD1	P35638	Q15327	1	1
PRKCA	-1	PTPN6	P17252	P29350	1	1
HDAC1	-1	CLDN7	Q13547	O95471	1	1
CTCFL	1	BAG1	Q8NI51	Q99933	1	1
DNMT1	1	BAG1	P26358	Q99933	1	1
DNMT3B	1	BAG1	Q9UBC3	Q99933	1	1
DNMT1	1	BAG3	P26358	O95817	1	1
DNMT3B	1	BAG3	Q9UBC3	O95817	1	1
DNMT1	1	BAG4	P26358	O95429	1	1
DNMT3B	1	BAG4	Q9UBC3	O95429	1	1
CTNNB1	1	CLDN2	P35222	P57739	1	1
BAG1	1	HSPA8	Q99933	P11142	1	1
BAG3	1	HSPA8	O95817	P11142	1	1
BAG1	-1	PPP1R15A	Q99933	O75807	1	1
BAG1	1	BCL2	Q99933	P10415	1	1
LEF1	1	CLDN2	Q9UJU2	P57739	1	1
JUN	1	DDIT3	P05412	P35638	1	1
DEAF1	-1	HTR1A	O75398	P08908	1	1
DEK	-1	PRDX5	P35659	P30044	1	1
DNMT1	-1	IL32	P26358	P24001	1	1
DNMT3B	-1	IL32	Q9UBC3	P24001	1	1
DNMT1	-1	MBD2	P26358	Q9UBB5	1	1
E2F1	1	CD2AP	Q01094	Q9Y5K6	1	1
E2F1	1	ISYNA1	Q01094	Q9NPH2	1	1
ISYNA1	1	inositol 1-phosphate	Q9NPH2	CID:107737	1	0
E2F1	1	MT1G	Q01094	P13640	1	1
E2F1	1	MUC4	Q01094	Q99102	1	1
E2F1	1	NOX4	Q01094	Q9NPH5	1	1
E2F1	1	SERPINB5	Q01094	P36952	1	1
E2F1	-1	TLR3	Q01094	O15455	1	1
RANBP3	-1	SMAD3	Q9H6Z4	P84022	1	1
PPM1A	-1	SMAD3	P35813	P84022	1	1
ETV6	1	BBC3	P41212	Q96PG8	1	1
ETV6	1	CDKN1A	P41212	P38936	1	1
EVX1	-1	GSC	P49640	P56915	1	1
GSC	-1	EVX1	P56915	P49640	1	1
EZH2	-1	ALDH1A1	Q15910	P00352	1	1
EZH2	-1	DACT3	Q15910	Q96B18	1	1
EZH2	-1	SSTR1	Q15910	P30872	1	1
EZH2	-1	HOXB13	Q15910	Q92826	1	1
DNMT3B	-1	HOXB13	Q9UBC3	Q92826	1	1
EZH2	-1	SNAI2	Q15910	O43623	1	1
PER2	-1	SNAI2	O15055	O43623	1	1
PER2	-1	POU2F1	O15055	P14859	1	1
POU2F1	1	SNAI2	P14859	O43623	1	1
SUZ12	-1	SNAI2	Q15022	O43623	1	1
EZH2	-1	TWIST1	Q15910	Q15672	1	1
POU2F1	1	TWIST1	P14859	Q15672	1	1
PER2	-1	TWIST1	O15055	Q15672	1	1
HDAC2	-1	TWIST1	Q92769	Q15672	1	1
SUZ12	-1	TWIST1	Q15022	Q15672	1	1
GATA1	1	MPL	P15976	P40238	1	1
FLI1	1	MPL	Q01543	P40238	1	1
FOXA1	1	HSPA1A	P55317	P0DMV8	1	1
FOXA1	1	HSPA1B	P55317	P0DMV9	1	1
FOXA1	1	LOXL2	P55317	Q9Y4K0	1	1
FOXA1	1	KRT7	P55317	P08729	1	1
SMAD3	-1	FOXA1	P84022	P55317	1	1
CyclinB/CDK1	1	CDC25C	SIGNOR-C17	P30307	0	1
CyclinB/CDK1	1	CDC25C	SIGNOR-C17	P30307	0	1
CyclinB/CDK1	1	CDC25C	SIGNOR-C17	P30307	0	1
SRC	1	IGF1R	P12931	P08069	1	1
HDAC2	-1	SNAI2	Q92769	O43623	1	1
FLI1	1	GP6	Q01543	Q9HCN6	1	1
GATA1	1	GP6	P15976	Q9HCN6	1	1
SP1	1	GP6	P08047	Q9HCN6	1	1
FLI1	1	GP9	Q01543	P14770	1	1
GATA1	1	GP9	P15976	P14770	1	1
TUBB	-1	SMAD3	P07437	P84022	1	1
AGRP	-1	MC4R	O00253	P32245	1	1
PRKG1	1	CFTR	Q13976	P13569	1	1
SMAD3	-1	NKX2-1	P84022	P43699	1	1
TGFB1	-1	SFTPB	P01137	P07988	1	1
FOXA1	1	SFTPB	P55317	P07988	1	1
NKX2-1	1	SFTPB	P43699	P07988	1	1
FOXE1	1	MSX1	O00358	P28360	1	1
FOXE1	1	TGFB3	O00358	P10600	1	1
FOXF1	1	GH2	Q12946	P01242	1	1
GATA1	-1	CBFB	P15976	Q13951	1	1
GATA1	1	GP1BA	P15976	P07359	1	1
MAPK1	-1	MAP2K1	P28482	Q02750	1	1
FOXI1	1	CFTR	Q12951	P13569	1	1
FOXL2	-1	CYP11A1	P58012	P05108	1	1
FOXL2	-1	CCND2	P58012	P30279	1	1
FOXL2	-1	CYP19A1	P58012	P11511	1	1
FOXL2	-1	STAR	P58012	P49675	1	1
FOXA1	1	SFTPB	P55317	P07988	1	1
FOXN1	-1	DSG4	O15353	Q86SJ6	1	1
LEF1	-1	DSG4	Q9UJU2	Q86SJ6	1	1
HOXC13	-1	DSG4	P31276	Q86SJ6	1	1
FOXO1	-1	FSHB	Q12778	P01225	1	1
FOXO3	1	GALT	O43524	P07902	1	1
PRLR	-1	FOXO3	P16471	O43524	1	1
GATA1	1	AGGF1	P15976	Q8N302	1	1
GATA1	-1	CEBPA	P15976	P49715	1	1
NOTCH1	1	NFKB1	P46531	P19838	1	1
GATA1	1	ITGA2B	P15976	P08514	1	1
GFI1	-1	BAX	Q99684	Q07812	1	1
ETS1	-1	BAX	P14921	Q07812	1	1
GFI1	-1	CYP27B1	Q99684	O15528	1	1
GFI1B	1	MEF2C	Q5VTD9	Q06413	1	1
PLK1	-1	TPT1	P53350	P13693	1	1
PRKCA	1	ADD1	P17252	P35611	1	1
RUNX1	1	ITGA2B	Q01196	P08514	1	1
GATA1	1	RUNX1	P15976	Q01196	1	1
RUNX1	1	GP1BA	Q01196	P07359	1	1
GATA4	1	HAMP	P43694	P81172	1	1
GATA6	1	CYP11A1	Q92908	P05108	1	1
GATA6	1	CYP17A1	Q92908	P05093	1	1
GCM2	1	CASR	O75603	P41180	1	1
GCM2	1	PTH	O75603	P01270	1	1
GFI1	-1	ETS1	Q99684	P14921	1	1
ETS1	-1	GFI1	P14921	Q99684	1	1
STAT5A	-1	MEF2C	P42229	Q06413	1	1
LYL1	1	MEF2C	P12980	Q06413	1	1
TAL1	1	MEF2C	P17542	Q06413	1	1
NKX2-5	1	MEF2C	P52952	Q06413	1	1
GTF2I	1	HSPA5	P78347	P11021	1	1
HAX1	-1	ATP2A2	O00165	P16615	1	1
PRKCZ	1	ADD1	Q05513	P35611	1	1
CSNK2A1	1	SNAI1	P68400	O95863	1	1
HOXA9	-1	MEF2C	P31269	Q06413	1	1
HOXA10	-1	MEF2C	P31260	Q06413	1	1
HOXA9	1	MYCN	P31269	P04198	1	1
MYCN	-1	MEF2C	P04198	Q06413	1	1
HOXA10	1	MYCN	P31260	P04198	1	1
GLI2	1	FOXF1	P10070	Q12946	1	1
GLI2	1	IFITM5	P10070	A6NNB3	1	1
SP1	1	IFITM5	P08047	A6NNB3	1	1
SP7	1	IFITM5	Q8TDD2	A6NNB3	1	1
SP3	1	IFITM5	Q02447	A6NNB3	1	1
F2	1	F2RL1	P00734	P55085	1	1
HDAC4	-1	MMP13	P56524	P45452	1	1
HDAC2	-1	HPGD	Q92769	P15428	1	1
AURKB	1	RACGAP1	Q96GD4	Q9H0H5	1	1
HDAC1	-1	ABCB1	Q13547	P08183	1	1
UHRF1	-1	ABCB1	Q96T88	P08183	1	1
HDAC1	-1	FSHR	Q13547	P23945	1	1
MTA2	-1	FSHR	O94776	P23945	1	1
HDAC1	-1	HSPA5	Q13547	P11021	1	1
HDAC1	-1	SNAI2	Q13547	O43623	1	1
NCOR1	-1	SNAI2	O75376	O43623	1	1
ESR1	-1	SNAI2	P03372	O43623	1	1
HDAC2	-1	CIITA	Q92769	P33076	1	1
HDAC4	-1	HOXB13	P56524	Q92826	1	1
YY1	-1	HOXB13	P25490	Q92826	1	1
PTH	1	MMP13	P01270	P45452	1	1
SNAI1	-1	HPGD	O95863	P15428	1	1
HIC1	-1	ACKR3	Q14526	P25106	1	1
MTMR4	-1	SMAD3	Q9NYA4	P84022	1	1
HIC1	-1	E2F1	Q14526	Q01094	1	1
HIC1	-1	EFNA1	Q14526	P20827	1	1
HIC1	-1	EPHA2	Q14526	P29317	1	1
MTA1	-1	EPHA2	Q13330	P29317	1	1
HIC1	-1	LRP8	Q14526	Q14114	1	1
HIC1	-1	VLDLR	Q14526	P98155	1	1
HIC1	-1	MYC	Q14526	P01106	1	1
HIC1	-1	STAT3	Q14526	P40763	1	1
HIC1	-1	VEGFA	Q14526	P15692	1	1
SKI	-1	SMAD3	P12755	P84022	1	1
EGR1	1	FAP	P18146	Q12884	1	1
EGR1	1	PTGES	P18146	O14684	1	1
EGR1	1	SLC4A2	P18146	P04920	1	1
GAST	1	SLC4A2	P01350	P04920	1	1
GAST	1	EGR1	P01350	P18146	1	1
EGR1	1	TBXA2R	P18146	P21731	1	1
SP1	1	TBXA2R	P08047	P21731	1	1
RORA	1	CAV3	P35398	P56539	1	1
RORA	1	CPT1B	P35398	Q92523	1	1
HDAC1	-1	EGR1	Q13547	P18146	1	1
NfKb-p65/p50	-1	EGR1	SIGNOR-C13	P18146	0	1
EP300	1	CAV3	Q09472	P56539	1	1
EP300	1	CPT1B	Q09472	Q92523	1	1
PPARGC1A	1	CAV3	Q9UBK2	P56539	1	1
PPARGC1A	1	CPT1B	Q9UBK2	Q92523	1	1
PTGES	1	Prostaglandin E2	O14684	CID:5280360	1	0
Thromboxane	1	TBXA2R	CID:114873	P21731	0	1
ZFYVE9	1	SMAD3	O95405	P84022	1	1
EGR1	-1	FCER2	P18146	P06734	1	1
EGR1	-1	FAS	P18146	P25445	1	1
CDK4	-1	SMAD3	P11802	P84022	1	1
EGR1	1	CHGA	P18146	P10645	1	1
EGR1	1	GDF15	P18146	Q99988	1	1
EGR1	1	HPSE	P18146	Q9Y251	1	1
EGR1	1	PDGFC	P18146	Q9NRA1	1	1
EGR1	1	SLC9A3	P18146	P48764	1	1
SP1	1	SLC9A3	P08047	P48764	1	1
SP3	1	SLC9A3	Q02447	P48764	1	1
SP1	1	PDGFC	P08047	Q9NRA1	1	1
SP1	1	CHGA	P08047	P10645	1	1
CHGA	1	Secretory granule organization	P10645	SIGNOR-PH87	1	0
CHGA	1	Peptide hormone processing	P10645	SIGNOR-PH88	1	0
CREB1	1	CHGA	P16220	P10645	1	1
SMAD2	1	SMAD2	Q15796	Q15796	1	1
MAP3K7	1	MAP3K7	O43318	O43318	1	1
EHF	-1	DCDC2	Q9NZC4	Q9UHG0	1	1
EHF	1	SPRR1B	Q9NZC4	P22528	1	1
ELF3	1	SPRR1B	P78545	P22528	1	1
ELF1	1	CD68	P32519	P34810	1	1
ELF2	1	VCP	Q15723	P55072	1	1
IRF4	-1	CD68	Q15306	P34810	1	1
IRF8	-1	CD68	Q02556	P34810	1	1
SPI1	-1	CD68	P17947	P34810	1	1
ELF1	-1	FCER1A	P32519	P12319	1	1
GATA1	1	FCER1A	P15976	P12319	1	1
SPI1	1	FCER1A	P17947	P12319	1	1
YY1	1	FCER1A	P25490	P12319	1	1
ELF3	-1	KRT4	P78545	P19013	1	1
ELF3	1	SPRR2A	P78545	P35326	1	1
STAT1	1	TBX21	P42224	Q9UL17	1	1
TBX21	1	TBX21	Q9UL17	Q9UL17	1	1
TBX21	-1	GATA3	Q9UL17	P23771	1	1
GATA3	-1	TBX21	P23771	Q9UL17	1	1
GATA3	1	GATA3	P23771	P23771	1	1
IL4R	1	STAT5A	P24394	P42229	1	1
STAT6	1	GATA3	P42226	P23771	1	1
GATA3	1	GATA3	P23771	P23771	1	1
STAT5A	1	FOXP3	P42229	Q9BZS1	1	1
STAT5A	1	Proliferation	P42229	SIGNOR-PH4	1	0
STAT3	1	RORC	P40763	P51449	1	1
STAT3	-1	FOXP3	P40763	Q9BZS1	1	1
YY1	-1	NOTCH	P25490	SIGNOR-PF30	1	0
FOXO	-1	NOTCH	SIGNOR-PF27	SIGNOR-PF30	0	0
MAML2	1	NOTCH	Q8IZL2	SIGNOR-PF30	1	0
PSEN1	1	NOTCH	P49768	SIGNOR-PF30	1	0
CCNC	-1	NOTCH	P24863	SIGNOR-PF30	1	0
FBXW7	-1	NOTCH	Q969H0	SIGNOR-PF30	1	0
KAT2B	1	NOTCH	Q92831	SIGNOR-PF30	1	0
CDK8	-1	NOTCH	P49336	SIGNOR-PF30	1	0
DYRK1A	-1	NOTCH	Q13627	SIGNOR-PF30	1	0
GXYLT2	1	NOTCH	A0PJZ3	SIGNOR-PF30	1	0
